,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
87,-73.9565759733611,40.7992461674802,42C-AM-1007-02,42C,AM,10072018,2,,,,+,,,,,False,False,False,False,False,,False,True,False,False,False,False,False,False,,POINT (-73.9565759733611 40.7992461674802)
88,-73.95515394983059,40.798738465625604,41D-AM-1014-01,41D,AM,10142018,1,Adult,Gray,Black,Gray+Black,,Ground Plane,FALSE,,False,False,False,False,True,digging,False,False,False,False,False,False,True,False,,POINT (-73.9551539498306 40.7987384656256)
89,-73.9641971813967,40.781353795943495,21G-PM-1007-01,21G,PM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,False,False,True,False,,False,False,False,True,False,False,True,False,,POINT (-73.9641971813967 40.7813537959435)
90,-73.9692883970928,40.776855370308205,14E-AM-1008-02,14E,AM,10082018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,False,False,False,True,walking,False,False,False,False,False,False,False,True,,POINT (-73.9692883970928 40.7768553703082)
91,-73.9708549670788,40.7699587019058,7H-PM-1006-04,07H,PM,10062018,4,Adult,Gray,,Gray+,,Above Ground,12,on tree knob,False,False,False,False,False,sitting,False,False,False,False,False,False,True,False,,POINT (-73.9708549670788 40.7699587019058)
92,-73.9639744005647,40.782511195076395,22F-AM-1007-01,22F,AM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,False,True,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9639744005647 40.7825111950764)
93,-73.9730277911422,40.771214548882796,7F-AM-1008-16,07F,AM,10082018,16,Juvenile,Gray,,Gray+,,Above Ground,2,tree,False,False,False,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9730277911422 40.7712145488828)
94,-73.9710541405708,40.772469160571795,10F-PM-1019-05,10F,PM,10192018,5,Adult,Black,,Black+,,Above Ground,10,"Behind fence, tree",False,False,True,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9710541405708 40.7724691605718)
95,-73.9761592532482,40.774721358538706,10A-AM-1006-04,10A,AM,10062018,4,Juvenile,Gray,,Gray+,,Above Ground,10,tree near large rock on Bridle Path,False,False,False,False,False,walking on branch,False,False,False,False,True,False,False,False,,POINT (-73.9761592532482 40.7747213585387)
96,-73.9544007658685,40.7950689723135,38F-PM-1013-05,38F,PM,10132018,5,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,False,False,False,True,"being chased,was pushed by other squirrel",True,True,False,False,False,False,False,False,,POINT (-73.9544007658685 40.7950689723135)
97,-73.95759861613641,40.799368134968,41B-PM-1014-01,41B,PM,10142018,1,Adult,Gray,White,Gray+White,,Above Ground,25,Climbing tree,False,False,True,False,False,climbing (tree),False,False,False,False,False,False,False,True,,POINT (-73.9575986161364 40.799368134968)
98,-73.96077013704429,40.7955418990855,36A-PM-1013-07,36A,PM,10132018,7,,Gray,,Gray+,,Ground Plane,FALSE,"""FIELD""",False,True,False,False,False,chasing #8,False,False,False,False,False,False,False,True,,POINT (-73.9607701370443 40.7955418990855)
99,-73.9764036522984,40.7705846185121,5C-AM-1006-05,05C,AM,10062018,5,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9764036522984 40.7705846185121)
